CMOS Winnowing Report
Submissions analyzed: 54
k-mer length: 12 digits
window size: 5 hashes

222. bills_21.c vs bills_32.c | similarity=0.6957 | shared=80 | total=115
223. bills_31.c vs bills_47.c | similarity=0.6957 | shared=80 | total=115
224. bills_31.c vs bills_53.c | similarity=0.6957 | shared=80 | total=115
225. bills_31.c vs bills_54.c | similarity=0.6957 | shared=80 | total=115
226. bills_32.c vs bills_33.c | similarity=0.6942 | shared=84 | total=121
227. bills_03.c vs bills_04.c | similarity=0.6937 | shared=77 | total=111
228. bills_04.c vs bills_09.c | similarity=0.6937 | shared=77 | total=111
229. bills_04.c vs bills_29.c | similarity=0.6937 | shared=77 | total=111
230. bills_04.c vs bills_53.c | similarity=0.6937 | shared=77 | total=111
231. bills_04.c vs bills_54.c | similarity=0.6937 | shared=77 | total=111
232. bills_10.c vs bills_32.c | similarity=0.6935 | shared=86 | total=124
233. bills_16.c vs bills_36.c | similarity=0.6930 | shared=79 | total=114
234. bills_25.c vs bills_28.c | similarity=0.6929 | shared=88 | total=127
235. bills_43.c vs bills_46.c | similarity=0.6917 | shared=83 | total=120
236. bills_04.c vs bills_32.c | similarity=0.6909 | shared=76 | total=110
237. bills_08.c vs bills_36.c | similarity=0.6909 | shared=76 | total=110
238. bills_10.c vs bills_21.c | similarity=0.6905 | shared=87 | total=126
239. bills_29.c vs bills_36.c | similarity=0.6903 | shared=78 | total=113
240. bills_31.c vs bills_48.c | similarity=0.6903 | shared=78 | total=113
241. bills_03.c vs bills_49.c | similarity=0.6897 | shared=80 | total=116
242. bills_09.c vs bills_49.c | similarity=0.6897 | shared=80 | total=116
243. bills_49.c vs bills_53.c | similarity=0.6897 | shared=80 | total=116
244. bills_49.c vs bills_54.c | similarity=0.6897 | shared=80 | total=116
245. bills_30.c vs bills_36.c | similarity=0.6885 | shared=84 | total=122
246. bills_01.c vs bills_06.c | similarity=0.6880 | shared=86 | total=125
247. bills_30.c vs bills_38.c | similarity=0.6875 | shared=88 | total=128
248. bills_32.c vs bills_47.c | similarity=0.6870 | shared=79 | total=115
249. bills_32.c vs bills_49.c | similarity=0.6870 | shared=79 | total=115
250. bills_28.c vs bills_43.c | similarity=0.6860 | shared=83 | total=121
251. bills_21.c vs bills_22.c | similarity=0.6842 | shared=78 | total=114
252. bills_10.c vs bills_18.c | similarity=0.6838 | shared=93 | total=136
253. bills_22.c vs bills_45.c | similarity=0.6838 | shared=80 | total=117
254. bills_06.c vs bills_43.c | similarity=0.6833 | shared=82 | total=120
255. bills_07.c vs bills_46.c | similarity=0.6833 | shared=82 | total=120
256. bills_22.c vs bills_33.c | similarity=0.6833 | shared=82 | total=120
257. bills_22.c vs bills_42.c | similarity=0.6829 | shared=84 | total=123
258. bills_33.c vs bills_43.c | similarity=0.6829 | shared=84 | total=123
259. bills_33.c vs bills_49.c | similarity=0.6829 | shared=84 | total=123
260. bills_23.c vs bills_47.c | similarity=0.6825 | shared=86 | total=126
261. bills_30.c vs bills_42.c | similarity=0.6815 | shared=92 | total=135
262. bills_07.c vs bills_43.c | similarity=0.6810 | shared=79 | total=116
263. bills_04.c vs bills_05.c | similarity=0.6807 | shared=81 | total=119
264. bills_32.c vs bills_45.c | similarity=0.6807 | shared=81 | total=119
265. bills_01.c vs bills_47.c | similarity=0.6803 | shared=83 | total=122
266. bills_32.c vs bills_42.c | similarity=0.6800 | shared=85 | total=125
267. bills_08.c vs bills_46.c | similarity=0.6780 | shared=80 | total=118
268. bills_45.c vs bills_48.c | similarity=0.6780 | shared=80 | total=118
269. bills_25.c vs bills_48.c | similarity=0.6777 | shared=82 | total=121
270. bills_29.c vs bills_46.c | similarity=0.6777 | shared=82 | total=121
271. bills_01.c vs bills_28.c | similarity=0.6772 | shared=86 | total=127
272. bills_03.c vs bills_18.c | similarity=0.6772 | shared=86 | total=127
273. bills_09.c vs bills_18.c | similarity=0.6772 | shared=86 | total=127
274. bills_18.c vs bills_53.c | similarity=0.6772 | shared=86 | total=127
275. bills_18.c vs bills_54.c | similarity=0.6772 | shared=86 | total=127
276. bills_06.c vs bills_10.c | similarity=0.6769 | shared=88 | total=130
277. bills_10.c vs bills_45.c | similarity=0.6769 | shared=88 | total=130
278. bills_30.c vs bills_46.c | similarity=0.6769 | shared=88 | total=130
279. bills_08.c vs bills_29.c | similarity=0.6754 | shared=77 | total=114
280. bills_15.c vs bills_46.c | similarity=0.6752 | shared=79 | total=117
281. bills_03.c vs bills_38.c | similarity=0.6750 | shared=81 | total=120
282. bills_09.c vs bills_38.c | similarity=0.6750 | shared=81 | total=120
283. bills_38.c vs bills_53.c | similarity=0.6750 | shared=81 | total=120
284. bills_38.c vs bills_54.c | similarity=0.6750 | shared=81 | total=120
285. bills_07.c vs bills_25.c | similarity=0.6748 | shared=83 | total=123
286. bills_22.c vs bills_30.c | similarity=0.6748 | shared=83 | total=123
287. bills_18.c vs bills_32.c | similarity=0.6746 | shared=85 | total=126
288. bills_29.c vs bills_30.c | similarity=0.6746 | shared=85 | total=126
289. bills_15.c vs bills_17.c | similarity=0.6744 | shared=87 | total=129
290. bills_04.c vs bills_45.c | similarity=0.6724 | shared=78 | total=116
291. bills_32.c vs bills_38.c | similarity=0.6723 | shared=80 | total=119
292. bills_04.c vs bills_42.c | similarity=0.6721 | shared=82 | total=122
293. bills_21.c vs bills_46.c | similarity=0.6721 | shared=82 | total=122
294. bills_33.c vs bills_46.c | similarity=0.6719 | shared=86 | total=128
295. bills_06.c vs bills_36.c | similarity=0.6695 | shared=79 | total=118
296. bills_25.c vs bills_36.c | similarity=0.6694 | shared=81 | total=121
297. bills_03.c vs bills_33.c | similarity=0.6694 | shared=83 | total=124
298. bills_09.c vs bills_33.c | similarity=0.6694 | shared=83 | total=124
299. bills_22.c vs bills_23.c | similarity=0.6694 | shared=83 | total=124
300. bills_25.c vs bills_47.c | similarity=0.6694 | shared=83 | total=124
301. bills_25.c vs bills_49.c | similarity=0.6694 | shared=83 | total=124
302. bills_33.c vs bills_53.c | similarity=0.6694 | shared=83 | total=124
303. bills_33.c vs bills_54.c | similarity=0.6694 | shared=83 | total=124
304. bills_03.c vs bills_42.c | similarity=0.6693 | shared=85 | total=127
305. bills_09.c vs bills_42.c | similarity=0.6693 | shared=85 | total=127
306. bills_23.c vs bills_49.c | similarity=0.6693 | shared=85 | total=127
307. bills_42.c vs bills_53.c | similarity=0.6693 | shared=85 | total=127
308. bills_42.c vs bills_54.c | similarity=0.6693 | shared=85 | total=127
309. bills_30.c vs bills_33.c | similarity=0.6692 | shared=89 | total=133
310. bills_05.c vs bills_46.c | similarity=0.6667 | shared=86 | total=129
311. bills_01.c vs bills_43.c | similarity=0.6667 | shared=82 | total=123
312. bills_01.c vs bills_08.c | similarity=0.6667 | shared=80 | total=120
313. bills_25.c vs bills_41.c | similarity=0.6643 | shared=93 | total=140
314. bills_17.c vs bills_49.c | similarity=0.6642 | shared=89 | total=134
315. bills_05.c vs bills_43.c | similarity=0.6640 | shared=83 | total=125
316. bills_01.c vs bills_32.c | similarity=0.6639 | shared=81 | total=122
317. bills_06.c vs bills_21.c | similarity=0.6639 | shared=81 | total=122
318. bills_01.c vs bills_15.c | similarity=0.6639 | shared=79 | total=119
319. bills_03.c vs bills_16.c | similarity=0.6639 | shared=79 | total=119
320. bills_09.c vs bills_16.c | similarity=0.6639 | shared=79 | total=119
321. bills_16.c vs bills_53.c | similarity=0.6639 | shared=79 | total=119
322. bills_16.c vs bills_54.c | similarity=0.6639 | shared=79 | total=119
323. bills_01.c vs bills_42.c | similarity=0.6617 | shared=88 | total=133
324. bills_30.c vs bills_43.c | similarity=0.6614 | shared=84 | total=127
325. bills_04.c vs bills_28.c | similarity=0.6610 | shared=78 | total=118
326. bills_22.c vs bills_38.c | similarity=0.6610 | shared=78 | total=118
327. bills_22.c vs bills_50.c | similarity=0.6610 | shared=78 | total=118
328. bills_22.c vs bills_36.c | similarity=0.6607 | shared=74 | total=112
329. bills_06.c vs bills_17.c | similarity=0.6594 | shared=91 | total=138
330. bills_28.c vs bills_30.c | similarity=0.6591 | shared=87 | total=132
331. bills_42.c vs bills_46.c | similarity=0.6591 | shared=87 | total=132
332. bills_02.c vs bills_52.c | similarity=0.6587 | shared=83 | total=126
333. bills_16.c vs bills_33.c | similarity=0.6587 | shared=83 | total=126
334. bills_32.c vs bills_50.c | similarity=0.6583 | shared=79 | total=120
335. bills_04.c vs bills_06.c | similarity=0.6581 | shared=77 | total=117
336. bills_15.c vs bills_43.c | similarity=0.6579 | shared=75 | total=114
337. bills_21.c vs bills_30.c | similarity=0.6562 | shared=84 | total=128
338. bills_10.c vs bills_36.c | similarity=0.6560 | shared=82 | total=125
339. bills_45.c vs bills_47.c | similarity=0.6557 | shared=80 | total=122
340. bills_45.c vs bills_49.c | similarity=0.6557 | shared=80 | total=122
341. bills_28.c vs bills_45.c | similarity=0.6535 | shared=83 | total=127
342. bills_07.c vs bills_29.c | similarity=0.6525 | shared=77 | total=118
